score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
8.0,Great location,The hotel is in a very convienient location. You can explore a lot and walk around. Great restaurants and tube close to it.Very friendly staff. The breakfast was good. The room was quite clean.Compared to the other hotels the price was ok.,The room is really small (Deluxe). Also the bathroom was a little bit old as well as the towels. There is only one elevator.,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,7 September 2022,,
8.0,Very good,"Loved the hotel. The bathroom light in room 111 flickered quite a lot, but that's fine. Beds were a little noisy too but not an issue. A very fair price for a lovely and comfortable hotel in Kensington.",,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,6 September 2022,,
9.0,Would definitely return,"Excellent location, lovely staff.",,United Kingdom,Deluxe Double Room,2 nights ·,Family,August 2022,6 September 2022,,
9.0,Superb,"Friendly staff, excellent location (close to tube), clean room though a bit old. Overall good value of money in London.",,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,6 September 2022,,
8.0,Very good,Close to Earls Court Station and shops/pubs. Quiet area. Ideal for our 4 night stay. Was great having a bar fridge and microwave,"A few minor things, but was what you would expect for the price. If you want things perfect, pay 5 times as much. We were extremely happy.",Australia,Deluxe Double Room,5 nights ·,Couple,September 2022,6 September 2022,,
7.0,"Great hotel, could do with appliances being updated","great location, staff were very helpful and nice. room was a great size",the window in our room was broken which meant it was always slightly open and you could hear people or cars outside passing by. the microwave was very outdated and was defiantly on its way out.,United Kingdom,Club Double Room,2 nights ·,Family,September 2022,5 September 2022,,
8.0,well located hotel in quiet street,"great location, close to tube, pubs and restaurants",nothing really,Australia,Deluxe Double Room,3 nights ·,Solo traveller,September 2022,5 September 2022,,
8.0,Excellent value for money stay.,Excellent location close to tube station. Breakfast was fresh and tasty,Only one good sized bath towel.,United Kingdom,Superior Double Room,1 night ·,Couple,September 2022,4 September 2022,,
9.0,Superb,"The hotel is a very short walk to Earls Court tube station which makes it easy to get anywhere in London, including a direct Piccadilly line to London Heathrow. The staff were attentive and friendly.","For the price, there was nothing I can complain about.",United States,Deluxe Twin Room,2 nights ·,Family,September 2022,3 September 2022,,
8.0,Very good,Staff very helpful. Hotel in easy reach of Tube and Earls Court area.,Small bathroom towels,United Kingdom,Deluxe Double Room,2 nights ·,Family,August 2022,3 September 2022,,
8.0,Very good,Great location... So close to earls Court tube,Can't fault it,,Deluxe Double Room,1 night ·,Solo traveller,September 2022,3 September 2022,,
9.0,a pleasant stay close to Earl’s Court station,"very clean, lovely staff, comfy beds!",some maintenance noise,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2022,2 September 2022,,
