score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
5.0,Great staff. Dingy hotel with rats.,Staff were helpful and friendly.,"Route from reception to room was terrible. Drain in shower made strange noises all night. Bed was uncomfortable.When we walked through the restaurant (in the night when it was closed), we saw a big rat in the room. COnsequently, we avoided the breakfast we had paid for.",United Kingdom,Deluxe Double Room,1 night ·,Couple,June 2022,13 June 2022,,
6.0,Hotel in a reasonable position but overpriced for the facilities offered,Staff friendly,"Quality of our first room, cleanliness of the bedding ( stains on the duvet cover), basement room with high window which was close to the ceiling and looked out against a brick wall a metre awayFollowing a complaint to the manager we were moved to the fifth floor and a better room",Guernsey,Superior Double Room,3 nights ·,Couple,June 2022,13 June 2022,,
3.0,will never stay here again,nothing,smelly rooms with dirty carpets. mold in the shower room. very small rooms.  dated furniture and sagging mattresses.  we were stuck because we had confirmed reservations through booking.Com.  we also had another confirmed reservation for two rooms from 9-12 June.  but the hotel cancelled our reservation citing issues with charging credit card.  booking.Com also did not help.  I used the same credit card to book Marriott nearby thru booking.Com so clearly the issue is with hotel which cancels earlier lower priced reservations to get new booking at higher prices.  it’s a scam which booking.Com must look into.,Pakistan,Superior Double Room,3 nights ·,Family,June 2022,13 June 2022,,
5.0,It was an adequate property but not one that I will look forward to staying at again￼,Good location for our purposes of the staff were very attentive and friendly,"In certain areas it was a bit tired around the edges. Tired furniture that needs to be replaced. Breakfast, frankly, was very ordinary",United Kingdom,Club Double Room,1 night ·,Couple,June 2022,11 June 2022,,
6.0,Pleasant,,"Room was very small.  Breakfast was extremely poor, scrambled eggs were just mush.bacon and sausages lying in grease. I will not pay a service charge for a self service Breakfast!!! 2 days breakfast for 2 people hotel tried to charge us £12 service charge, No chance. Restaurant apparently is a separate entity from the hotel. Be careful with your hotel bill.There didnt seem to be a disabled entrance to the hotel. No safety catch on our window on the 4th floor, sash window opened full which is totally unacceptable.",United Kingdom,Deluxe Double Room,3 nights ·,Couple,June 2022,11 June 2022,,
4.0,Wouldn’t stay again,Great location,"Dated hotel, dated rooms, uncomfortable bedding and bed.",United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,June 2022,10 June 2022,,
3.0,Small bed,Location near the underground stationCoperative Staff,Small tiny room Very small bed which going to disturb your sleep.No soundproofing between room or outside,Oman,Superior Double Room,4 nights ·,Couple,June 2022,10 June 2022,,
4.0,wouldn’t go back,Good location,Being in a room below ground level,United Kingdom,Superior Double Room,1 night ·,Couple,May 2022,10 June 2022,,
4.0,disappointing. Not worth the £185 paiid.,The best thing about the hotel was the distance away from the nearest tub station (Earle’s court).,The room. Apparently the room we stayed in was upgraded from the superior double I’d paid for. The ‘upgraded’ room was very small. The only window faced a brick wall approx 1ft away. The bath and washbasin both had a drainage issue so we had 12hrs of stagnant used water the following morning.,United Kingdom,Superior Double Room,1 night ·,Couple,June 2022,8 June 2022,,
4.0,"poor start,took two hours to get room sorted.booked for wife's birthday so was very disappointed.","Location,Breakfast.","Room was dirty ,pillows old and raggy , no shower gel in bathroom.",United Kingdom,Deluxe Double Room,3 nights ·,Couple,June 2022,7 June 2022,,
6.0,If you’re looking for a stay to match the name of the hotel and price charged then maybe this isn’t the hote for you. Sa,A good location,"Overpriced, could do with a refresh, not a particularly open welcome!",United Kingdom,Deluxe Double Room,2 nights ·,Couple,June 2022,6 June 2022,,
6.0,Nice but dissapointing,Well presented and attentive staff. Great location. Clean lobby.,"Room was on the ground floor and had to walk long distance to get to it. Up and down back stair cases to avoid restaurant. Stairs smelt of damp. Not what we were expecting for a top treated hotel. We had upgraded to a club room, I dread to think what standard room was.",United Kingdom,Club Double Room,2 nights ·,Family,May 2022,4 June 2022,,
5.0,pleasant,location,"size of room, I’m not a large person but to get around other side of bed kept bruising my leg knocking against dressing table",United Kingdom,Superior Double Room,2 nights ·,Group,May 2022,4 June 2022,,
5.0,Passable,,rooms smelt strongly of cigarettes and smoking,South Africa,Deluxe Double Room,3 nights ·,Family,June 2022,4 June 2022,,
1.0,Bad,Location.,"They gave me a windowless room in the basement. The air in the room was horrible and the ventilation system dirty. After the second day, I got a serious nose and sinus infection, from which I recovered for 2 weeks, even though I came to London completely healthy.",Serbia,Deluxe Double Room,5 nights ·,Solo traveller,May 2022,1 June 2022,,
1.0,Overpriced stay in a dark room with poor service,locationbreakfast was good,room was in a lower basement with no window! double bed was located so that you could only get in from one side Breakfast room staff were rude and unhelpfulBar was closed at 10pm including room service,United Kingdom,Deluxe Double Room,1 night ·,Couple,May 2022,26 May 2022,1,
4.0,Would never reccommend this hotel. Extremely over priced for the low quality hotel,The location was fantastic,Value for money was terrible“Routine fire drill” at 1.30am evacuated the whole hotel in the middle of the night and then no compensation was offered,Australia,Superior Double Room,3 nights ·,Couple,May 2022,25 May 2022,,
5.0,Great start then it went down hill,Staff really nice unusually they actually provide bottled water.. when I requested more they gave me a couple more,My room was in the basement mo windows. A floor which had some cables underneath the carpet that I tripped over twice. The cleaners store room was.also there so I couldn't have a lay in,United Kingdom,Deluxe Double Room,2 nights ·,Couple,May 2022,23 May 2022,,
10,Exceptional,Very nice hotel nice room and stuff very Nice !,,United Kingdom,Superior Double Room,1 night ·,Couple,May 2022,22 May 2022,,
2.0,Glad it was only 2 nights.,Location was why I picked this hotel it is close to the tube  nothing else was good,The superior double room was about 9 feet square there was only just enough room for my suitcase. To reach the desk I had to climb over the bed. The bathroom was so small there was no room for toiletries and had to squeeze past the door to use the toilet.,Canada,Superior Double Room,2 nights ·,Solo traveller,May 2022,21 May 2022,,
3.0,Poor,fire alarm went off,,United States,Superior Double Room,3 nights ·,Solo traveller,May 2022,19 May 2022,,
6.0,"Nice location, clean hotel but basement rooms are a put off.","General hotel location, cleanliness, bathroom nice and clean",Room was in the basement and not properly ventilated and obviously no light. Primary reason for my low rating of the property.,Zimbabwe,Superior Double Room,1 night ·,Couple,May 2022,17 May 2022,,
4.0,uncomfortable,,"Room, the beds are simply awful advertised as double upon reaching room to find they are twin beds pushed together.",United Kingdom,Superior Double Room,1 night ·,Solo traveller,May 2022,16 May 2022,,
2.0,Good value for money but staff can be weird,the room was nice and clean,the staff were rude &amp; refused to let me into the restaurant even when it was free. This was during mid day. I was advised that they were busy even though the restaurant was free.,United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,May 2022,10 May 2022,,
5.0,"Good location, friendly staff but underwhelming room.",Extremely friendly and helpful staff. I was able to (slightly) open a door to a balcony to get fresh air into the room.,"Room was aging (examples: a broken towel rail behind the bathroom door, water did not drain well from the shower, the room looked out onto a dirty balcony with what looked like old building rubbish left on it.)",New Zealand,Superior Double Room,1 night ·,Solo traveller,May 2022,9 May 2022,,
5.0,Passable,Breakfast,"We were put in a very dark, dated room that was on the basement level, there seemed to be much nicer rooms on a higher level.  It was clean though",United Kingdom,Superior Double Room,2 nights ·,Couple,May 2022,9 May 2022,,
6.0,Pleasant,Location,Noise and room size,United Kingdom,Superior Double Room,2 nights ·,Couple,May 2022,6 May 2022,,
6.0,Pleasant,modern interior and good location,"I stayed in room 011 which is interconnected to next room with an interior door offering zero sound proofing.  I was kept awake with every cough, sniff, spoken word etc etc.  spoilt the stay for me and something which could be easily fixed.",United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,May 2022,4 May 2022,,
4.0,"massively overpriced and not a 4 star hotel, but the staff are very friendly and helpful.",staff were very friendly,"massively overpriced, not sure how the hotel achieved 4 stars. Shabby, worn out, small rooms, small beds, poor hotel layout. breakfast not included despite paying £165. felt ripped off",United Kingdom,Superior Double Room,1 night ·,Couple,May 2022,4 May 2022,,
6.0,"OK, nothing more.","Nice friendly staff , decent restaurant. Good location. Very close to the tube .","Room very small and a little bit dated . Cracked tiles in bathroom , bottom of shower surround very grubby .",United Kingdom,Deluxe Double Room,2 nights ·,Couple,May 2022,3 May 2022,,
5.0,Passable,,the room was very small,United Kingdom,Deluxe Double Room,2 nights ·,Couple,May 2022,2 May 2022,,
6.0,Over priced. 4 star! Really.,,WiFi. No English breakfast tea bags left. When i arrived and again the next day had to ask for them. Room small for the money.,United Kingdom,Superior Double Room,2 nights ·,Solo traveller,May 2022,2 May 2022,,
5.0,So so...as long as you don't need decent wifi,"A four night stay at the Park Grand.  I arrived at the property in a hurry, was given a room facing a brick wall.  I immediately went back to reception and asked to be changed, the second room I received was next to the lift it was however overall  clean and well laid out.  Staff were very friendly and tried their best to help.  I ate at the Turmeric restaurant one night and the food was very tasty.  The location is good there are many restaurants and other amenities within meters of the hotel.","The wifi is the worst and the slowest I have ever experienced.  I reported this to the gentleman at reception, he offered a solution but it didn't work.  Think internet 20 years ago, where you have to wait for the pictures to load.  Forget about watching videos, I eventually disconnected wifi and worked on 5G.  This clearly opts out business travelers from this property.  Not all rooms are the same standard, my room didn't have bathrobes and slippers or the mini bar that others alluded to in their reviews.  Linens, although clean, are quite cheap, poly cotton.  One of the reasons I booked this property was to have a gym, as soon as I booked I got a note to say that due to COVID access to the gym is not possible.  This should have been flagged up front booking.com!!!  Come on stop using COVID as the excuse.  I was also awoken every morning at 6.45am by a mechanical noise (maybe the lift shaft) which lasted about 30 seconds.  Would I stay here again, probably not.",Switzerland,Superior Double Room,4 nights ·,Solo traveller,April 2022,24 April 2022,,
5.0,"Would be an excellent choice if you like smallish rooms, like Indian food and are teetotal.","Location was good, breakfast was excellent, staff were very friendly and helpful.","Booking.com indicated the hotel had one restaurant and the cuisine was British, it isn't, it's all Indian food. Room was a bit on the small side, especially given this was supposedly upgraded. We were in London for a show, but we're unable to get a drink on our return to the hotel as the bar closed at 10pm with last orders at 9.30, ridiculous!",United Kingdom,Deluxe Double Room,1 night ·,Couple,April 2022,24 April 2022,,
6.0,Basic but good value for money in ideal location,Very close to the station and a short walk to the Natural History Museum and V&amp;A. Room was clean and bed was comfortable.,The room was in the basement and did not have any windows- would have liked to know this beforehand. Corridors were a little noisy at night time- we had someone ringing the doorbell to our room late at night.,United Kingdom,Deluxe Double Room,1 night ·,Couple,April 2022,18 April 2022,,
5.0,Do not bother going for Deluxe option,"Good location, room was clean and due to it being Saturday night I could park right outside on the road.","Paid for to stay in a Deluxe room yet it below ground, with a very little amount of natural light and did not seem that big at all. The shower drain was clearly blocked as water filled and over ran the shower quickly. Very poor value for money.",United Kingdom,Deluxe Double Room,1 night ·,Couple,April 2022,18 April 2022,,
4.0,Disappointing,good location,"the bed was very uncomfortable as instead of one double matress, there were 2 single onesthere was banging in the middle of the night for a long time and then shoutswhen went downstairs in the middle of the night (3am) there was nobody at the reception but the door was unlocked, meaning that people shouting in the street could easily come inside whenever. GENEREALLY DIDNT FEEL VERY SAFE, ESPECIALLY COMPARED TO THE PRICE OF £172",Greece,Deluxe Double Room,1 night ·,Couple,April 2022,18 April 2022,,
5.0,Okay stay however room for improvement,Room was comfy and bathroom very high quality. Bedding and towels good quality. Location good and well located for tube station.,Did not match with the excellent reviews on here and trip advisor. Overall hotel was tired. Lift was filthy. Breakfasts disappointing.,United Kingdom,Deluxe Twin Room,3 nights ·,Family,April 2022,14 April 2022,,
5.0,Need of huge improvements . Terms of cleanliness!,"It was obvious that carpet wasn’t hoovered, tu under the the bedside table and crumbs around the bed. Bathroom had shower which wasn’t descaled and clean properly in a long time. They were black moulds mark around tab and doors on shower from inside were having mould too , every time you run shower this mould from doors would come out. You should really deep clean shower cubicles and tiles with descaled and toothbrush! Very disappointed!",Dirt around bed and mouldy shower cubicle,United Kingdom,Deluxe Double Room,1 night ·,Couple,April 2022,13 April 2022,,
10,Exceptional,"Excellent room, lovely huge sized bed, facilities were great, breakfast lovely, staff, service, all lovely.",Quite far from central London and the West End.,United Kingdom,Superior Double Room,3 nights ·,Family,April 2022,12 April 2022,,
5.0,Won’t stay again. DO NOT RECOMMEND!,it had a good shower,"first room we were in had unclean bed sheets and Hairs in the bed and stained carpet, second room had a faulty spotlight when dimmed, staff didn’t really seem to bothered by it either, also there was no window in the second room!",United Kingdom,Deluxe Double Room,1 night ·,Couple,April 2022,12 April 2022,,
5.0,Very disappointing.,Staff are very pleasant but that is all that is good about this hotel.,"It is not 4star. All corridors etc very tired, it looks like it needs a complete decoration. We returned to the room one day about 14.00 hrs, room still not cleaned. All areas; lots of hand marks etc. room very small, net curtains do not fit the size of the window. Room largely clean but simply not worth the money we paid. Parking is a real problem, we drove to a number of different places to find a space.",United Kingdom,Superior Double Room,2 nights ·,Couple,April 2022,10 April 2022,,
2.0,feeling pretty bad,cannot remember,"Dirty carpet, no lost and pound, battery chargers, cigarettes, and other trivial things disappeared if left in the room. Never leave valuables in the room.",Germany,Superior Double Room,3 nights ·,Family,April 2022,8 April 2022,,
4.0,The photos make it look a lot nicer than it really is.,"The location was excellent, and the staff were very friendly and helpful.","Our room was dark and in the basement.  You had to go down a labyrinth of hallways (including one that reeked of smoke) in order to get to the room.  The room was VERY small.  If you think you're getting a room like the one that's pictured on Booking.com, you will be extremely disappointed.  It felt like a bait and switch.  The shower was terrible, no water pressure at all.  The towels were generously sized, but smelled like smoke and cooking grease.  Bits of things kept falling off in the room, like the wall hook for the hair dryer and some small metal piece on the shower control.  When we got to the room, it was very cold.  We turned on the heat and nothing happened, and as a matter of fact it seemed to get colder.  We finally called the front desk, and they said ""Oh, we'll turn on the heat in your room.""  You would think that they would have done that when we arrived.  After that though, we were able to control the temperature in the room to our satisfaction.  There were plenty of toiletries in the room, but only 2 half-used toilet paper rolls.  That felt tacky and cheap to us.  There was a small microwave (which we did not try) and a mini-fridge that was lukewarm and had no controls to make it colder.",United States,Deluxe Double Room,3 nights ·,Family,April 2022,8 April 2022,,
2.0,,,,United States,Deluxe Double Room,5 nights ·,Family,April 2022,7 April 2022,,
6.0,"Quite okay, but we‘ll choose an other hotel next time!",Location - well situated - very close to Earl‘s Court underground station and therefore perfect to get to the City centre!,room (very thin walls - unfortunately drunken and loud room neighbours); staff not really  friendly and inconsiderate - got worse in comparison to our last visit,Austria,Deluxe Double Room,2 nights ·,Couple,April 2022,4 April 2022,1,
5.0,Passable,"Good breakfast, good location - close to Earl’s Court tube station",Room was far too small for 2 people and quite dark. View was a brick wall. Also felt damp - alot of condensation on windows in morning.,France,Superior Double Room,2 nights ·,Couple,March 2022,1 April 2022,,
4.0,"Good location for tube, but hotel, described as 'boutique' wasn't as expected.",Staff friendly and helpful.,"Room very small; had to edge around the bed to access the wardrobe.  Sink in bathroom, though trendy was useless.  Mould on bathroom tiles and around shower base.  No chair in room, only a dressing table stool.",United Kingdom,Superior Double Room,3 nights ·,Couple,March 2022,26 March 2022,,
5.0,"was “upgraded” to a club room on arrival, in the basement, next to the bathrooms and cleaners room. no natural light. wo","location, staff were nice",room in basement,Australia,Deluxe Double Room,3 nights ·,Couple,March 2022,23 March 2022,,
10,Would book again,"Pleasant staff, modern facilities and place to leave luggage",noisy neighbours,United Kingdom,Club Double Room,2 nights ·,Couple,February 2022,21 March 2022,,
3.0,Avoid unless your looking for a lady of the night.,"The room was large, this was a bonus. And by far the only thing that I liked.",Scruffy.Noisy Prostitutes all night.No windows.Electronical tape holding things together.,United Kingdom,Superior Double Room,1 night ·,Solo traveller,February 2022,21 March 2022,,
5.0,Passable,Breakfast was poor.,The front desk staff wasnt very friendly.,Finland,Club Double Room,2 nights ·,Couple,March 2022,20 March 2022,,
4.0,great location mediocre hotel,the location,quail it’s of the room was not up to a 4 star hotels,France,Deluxe Double Room,4 nights ·,Couple,March 2022,16 March 2022,,
5.0,Ok for a one night stay.,"The Hotel was close to the Tube Station ,  staff were friendly and a good breakfast was provided.",On arrival there was confusion about our booking as allegedly they mixed us up with someone of a similar name! My Tv had no volume and although I reported it when discovered in the afternoon when returning at night it had still not been fixed. When I complained it was then fixed quickly! The reception kept getting my room mixed up with my Grandsons and sent the TV repair team to his room. Additionally at one point one of the staff used a pass key and entered his room whilst he was in it and him having Autism this worried and  disturbed him. I did not think the room was a 4 star deluxe room it was pretty ordinary to be honest.,United Kingdom,Deluxe Double Room,1 night ·,Family,March 2022,13 March 2022,1,
1.0,wouldn’t stay again,location,"basement room, lights not working, noisy toilet sounds all night, fabrics in room damaged and scruffy. wanted to move rooms but nothing available",United Kingdom,Deluxe Double Room,1 night ·,Couple,March 2022,13 March 2022,,
3.0,Poor,Changed rooms after first night. Reception staff excellentNear to tube station,"First room was dreadful , on lower ground floor . Stairwell and corridor to the lower floor had peeling wallpaper and grubby carpet. The room had a pungent smell of cannabis. Unable to change rooms until next day",United Kingdom,Superior Double Room,2 nights ·,Couple,March 2022,13 March 2022,,
5.0,Passable,,"Room in basement , dark need a better lighting !",Australia,Superior Double Room,1 night ·,Group,March 2022,12 March 2022,,
6.0,Pleasant,Room is 5 starts decorated but extremely small. Hardly room to move around.,,United Kingdom,Superior Double Room,7 nights ·,Solo traveller,March 2022,11 March 2022,,
5.0,Fine but also disappointing?,"good location. breakfast was okay, room was technically clean","‘upgraded’ to 003 would have rather been in a smaller room as was so hard to get to and had to walk through the stairwell that is obviously where people take smoke breaks outside the fire door. room was kind of care worn? bed, sofa and chair all really worn. Noise from people in the street outside our window during the night. Also when we came back after housekeeping had been could smell weed. In a cheaper hotel none of this would have bothered us but it was our honeymoon and we wanted it to be more special than it felt.",United Kingdom,Superior Double Room,2 nights ·,Couple,February 2022,11 March 2022,,
6.0,Pleasant,,Windowless room. Room was not good value for money,United Kingdom,Superior Double Room,1 night ·,Solo traveller,March 2022,9 March 2022,,
6.0,"Convenient for public transport. Hotel decor a bit tired, didn’t feel 4*. Wi-Fi poor.",Convenient for Earl’s Court tube station. Comfortable bed.,"Supposedly we were ’upgraded’ and our new room was ‘downstairs’ - is that OK? Well as we had never been here before couldn’t really have an opinion. Downstairs meant the basement. Via a maze of corridors, stairs down, steps up and stairs down, stained carpets, staff quarters with their doors open, we finally arrived at our room. The size of room was probably an ‘upgrade’ but I think I would have preferred a smaller one that wasn’t ‘downstairs’. There were patio doors onto a small square patio surrounded by concrete, with old plant pots and rubbish thrown from above. The curtains were closed, so room was dark. Someone was speaking on their phone in the room above and we could hear the conversation. The room was COLD (it was 3C outside and a cold wind). We checked the thermostat and put it to 27C. Asked at reception and they confirmed the heating was now on. We went out for the evening and when we came back it didn’t seem any warmer. The TV was put on next door and we could listen to the movie clearly! Wifi dropped out all the time if you could get on it.",United Kingdom,Deluxe Double Room,1 night ·,Couple,March 2022,9 March 2022,,
1.0,"If I could claim my money back I would, ruined my 50th birthday weekend.","Paid for an upgraded room, ended up with a basement room, NOTHING LIKE WHAT I PAID FOR!!!!!! Towels not changed, tea coffee not replenished, bed had more lumps and bumps than the M25, bathroom taps looked disgusting. View from the window was a 15 foot high wall.see photos of tap and window view...","All of it, next time I'll use premium in, a third of the cost and a lot better service/ value.",United Kingdom,Superior Double Room,2 nights ·,Couple,March 2022,9 March 2022,,
6.0,Misses the mark,Close to Earl’s Court station,"1. On 3rd floor, one could hear every passerby in the street below. Not just loud shouts, but normal conversations…so you can imagine what it might be like when a couple start fighting in the street at 3:00 am, or when vagrants are talking loudly or when cars and trucks drive past.2. Breakfast was passable but coffee was not. Whatever brown liquid was served did not cut it so I ordered an Americano, which turned out to be as good as the soluble Nescafé in the rooms. And for which was considered an extra charge.3. Not sure who attributes hotel ratings, but this was certainly not a 4 star.",Luxembourg,Deluxe Double Room,3 nights ·,Couple,March 2022,8 March 2022,,
2.0,Poor,The breakfast,"Noise, beds, no window",United Kingdom,Club Double Room,1 night ·,Couple,March 2022,8 March 2022,,
6.0,"great location, rooms dated and staff should not be smoking anything anywhere!",the location,"we had to move from the first room, we stayed the week before in a nice room, this wkd the way to the room was dirty, domestic staff were smoking and after a strong smell of cigarette smoke, there was a strong smell of weed too!!!We reported this to the receptionist and we were moved to a nicer room and cigarette and weed smoke free!!",United Kingdom,Superior Double Room,3 nights ·,Couple,March 2022,7 March 2022,,
6.0,"overall , stay was ok .",location and value and staff helpful .,beds not very comfortable ! only two pillows and hard and pillow case had a stain on it . asked if I could have more pillows and was told they were short but they did supply some .,United Kingdom,Superior Double Room,2 nights ·,Couple,February 2022,7 March 2022,,
6.0,pleasant. only there to sleep,"clean, modern and comfortable","tv was disgraceful. 6 channels only, none of the standard Bbc or itv. bar was shut when ingot back at 1040pm, disappointingquite small room. shower basin did not empty, was standing in a lot of water",United Kingdom,Superior Double Room,1 night ·,Solo traveller,March 2022,7 March 2022,,
4.0,Will stay elsewhere next time,Breakfast ok. Location good for what we were doing.,"Room service. Bed not made, tea cups not cleaned and no replenishment of tea and milk",United Kingdom,Superior Double Room,2 nights ·,Couple,March 2022,7 March 2022,,
10,London birthday weekend,lovely and clean comfortable,,United Kingdom,Superior Double Room,2 nights ·,Group,March 2022,6 March 2022,,
6.0,Pleasant,"I was told breakfast was 15pound more, so I didnt have the breakfast. I believed it was part of my booking but was unsure.",,Ireland,Superior Double Room,2 nights ·,Solo traveller,March 2022,4 March 2022,,
6.0,Pleasant,Location was good. Quiet road near to shops and station,The room was in the basement with no natural light.,United Kingdom,Superior Double Room,3 nights ·,Couple,March 2022,3 March 2022,,
6.0,Pleasant,It was very clean and the amenities were very good! Was also in a decent location too.,The room was on the basement level so lack of natural light.,United Kingdom,Superior Double Room,5 nights ·,Couple,February 2022,3 March 2022,,
6.0,Pleasant,,rooms were freezing cold.,United Kingdom,Superior Double Room,1 night ·,Couple,March 2022,1 March 2022,,
5.0,Bang Average facilities - but great staff!,The staff,"Despite the nice gesture of having our room ""upgraded"", the wooden furniture was pretty old fashioned and had certainly seen better days. For a 4 star hotel, in this day and age - you'd expect a bit better. The water pressure in the shower is below-par, to say the least. The TV in the room also needs to be updated - we are in 2022 - not 2007. The internet quality is woeful - constantly dropping in and out! Definitely not a 4 star hotel. More of a mediocre 3 star hotel. The W14 Hotel is a better hotel - also better value for money, as it is usually cheaper over there. Overall the hotel is massively overrated - and the positive reviews we read before booking the hotel certainly led us to believe we were actually going to a 4 star hotel. The only main positive was the staff, as they were excellent and very friendly!",United Kingdom,Superior Double Room,1 night ·,Couple,February 2022,28 February 2022,,
5.0,ok for an overnight stay.,shower was nice. lovely make up mirror.,"Room too small, bed too small.  No water provided until I asked when we got up.",United Kingdom,Superior Double Room,1 night ·,Family,February 2022,28 February 2022,,
5.0,Acceptable,,"The room wasnt cleaned properly, we found leftover food on the floor at the bottom of the bed - chips. I did speak to reception who offered me a bottle of water to compensate.   Fortunately we were just using the room for a bed as we were out all day and evening.",United Kingdom,Superior Double Room,1 night ·,Couple,February 2022,26 February 2022,,
6.0,I feel the value for money not quite there.,"Good location, 200 metres from Earls Court Station.  Friendly staff.","We were staying five nights, the first room they put us in was a second-floor room, small and directly over the kitchen with a huge fan duct going through our room making a constant humming noise.  When we complained about this room they immediately moved us to a bigger room on the fifth floor which was much better, but it makes me wonder why they put us in the first room to begin with when they obviously know this is a big problem.  Also, we paid for a superior room which the first room was not.  The second room was a good size but so hot that we turned off the heating for the full five days even though it was 7 degrees outside this room was very warm.",France,Club Double Room,5 nights ·,Couple,February 2022,25 February 2022,,
4.0,Tired and faded facility,The location was good,I was put in a dungeon room with no windows. Generally it was a very tired facility that urgently needed a revamp,Australia,Deluxe Double Room,1 night ·,Solo traveller,February 2022,22 February 2022,,
2.0,A disappointment never to be repeated,The dining staff were fantastic,"From the minute we checked in to the moment we left the front of house staff were dismissive and rude.We had experienced several transport problems due to the weather conditions and train cancellations. Despite being left with no option than to arrive a day later than expected we were charged full price for our room, which, we never got to stay in that night.We were offered the option to re-arrange our booking but we had show tickets. We were not allowed to re-arrange one night for a later date, this was only possible if we cancelled both nights. The photos show the “view” from our window and the lack of attention paid to the cleaning.",United Kingdom,Superior Double Room,2 nights ·,Couple,February 2022,20 February 2022,,
2.0,how can such a below average hotel have 4 stars ?,nothing,"dirty and grubby. poor drainage in shower and loo, dirt and rubbish under the bed. hideously uncomfortable, ridiculously soft double bed, which was two single beds !",United Kingdom,Superior Double Room,3 nights ·,Family,February 2022,18 February 2022,,
5.0,average clean stay but not the best,it was clean and I guess good for the price,"it seems if you book via an external site I.e booking.com you get the basement rooms which are a fair way from reception, base floor and you feel the temperature drop as you go down from the upper level!",United Kingdom,Superior Double Room,1 night ·,Couple,February 2022,17 February 2022,,
6.0,fine,"clean, staff nice and good maid service.",room was small and cramped. seemed to be moths in the room. not the best value for money.,United Kingdom,Deluxe Double Room,3 nights ·,Couple,February 2022,7 February 2022,,
6.0,"Good clean hotel,friendly helpful staff.","Great clean hotel, Rooms standard hotel design. Size was practical. Main reason for choosing this hotel was its location to attractions",Beds far too soft for my liking.,United Kingdom,Superior Double Room,2 nights ·,Couple,February 2022,7 February 2022,,
5.0,Your breakfast choice needs to improve,"The room was very small for 2 people. Also each day we had to ask for an extra bath towel as only 1 put in room. each day. Would say first floor is for buisness people, The breakfast was very poor for a four star hotel.",Had to keep asking fpr a bath towel as 2 people in room. Breakfast very poor lack off choice.,United Kingdom,Superior Double Room,3 nights ·,Couple,January 2022,1 February 2022,,
6.0,alright .,"looks nice , local and affordable.","how the staff handled a complaint I had , I asked themabout breakfast and wasn’t given any despite the miscommunication they had with me in regards to the times which put a big damper on my experience.",United Kingdom,Superior Double Room,1 night ·,Couple,January 2022,30 January 2022,,
10,excellent staff rooms and location,great staff,nothing,United Kingdom,Superior Double Room,1 night ·,Couple,January 2022,29 January 2022,,
10,Value for money would be difficult to beat here.,friendly staff excellent bedroom facilities and bed and en-suite great breakfast and coffee,Minor point would be a slow lift…very minor !!,United Kingdom,Club Double Room,1 night ·,Solo traveller,January 2022,25 January 2022,,
4.0,"the smell was horrendous pure weed, hairs in bed and dirt build up all round shower and toilet",location,"cleanliness, comfort",United Kingdom,Superior Double Room,1 night ·,Couple,December 2021,24 January 2022,,
10,Relaxing break away,I didn’t have breakfast but it looked nice and the room was nice and comfortable,Can’t fault this nice hotel,United Kingdom,Deluxe Double Room,2 nights ·,Couple,November 2021,22 January 2022,,
5.0,"I wouldn’t go back, I told the staff it was 3/5 when asked.","Breakfast was good, the room size was good.","Our room wasn’t cleaned before we arrived, our bed had hairs in it too. The room was noisy (a ventilator or something?) I was offered a complimentary upgrade next time but I’d already booked the top room and it wasn’t clean…",United Kingdom,Deluxe Twin Room,1 night ·,Family,January 2022,19 January 2022,,
5.0,"Great location, average rooms",Reception area and location. Air conditioned room,"Room 307, 2 single beds pushed together with different mattresses making it impossible to sleep across the 2 so may aswell had a single bed. No smart TV in rooms Breakfast time not early enough starting at 7am",United Kingdom,Club Double Room,1 night ·,Solo traveller,January 2022,18 January 2022,,
5.0,Passable,Easy check in Looks nice as you walk through the door,"We got upgraded to what we was told a bigger bedroom. And it was awfully small, could just about stand either side of the bed without touching the wall or window either side. The bed sheets and covers were dirty and we found rubbish on the floor which was not ours. The bathroom was also not the cleanest. It was like the room was not cleaned before we went in. For what we payed for the room I am not happy at all! I will definitely not be using this hotel again and I would rather stay at a premier Inn as it is definitely more luxurious and is 100% worth the money and it will cost you a lot less than here!",United Kingdom,Superior Double Room,2 nights ·,Couple,January 2022,15 January 2022,,
3.0,Poor,Great price for location,The walls are so thin. My neighbours are coming in and out of their room laughing and carrying on until 3 am. It was a horrible night sleep.,United Kingdom,Superior Double Room,1 night ·,Solo traveller,January 2022,14 January 2022,,
5.0,Passable,We had issues with our room the room wasn’t up to standard but the staff were very helpful we moved rooms a few times. Which was inconvenient,We read the breakfast was very good so booked bed and breakfast. Felt there wasn’t much choice and it wasn’t worth the money.,United Kingdom,Deluxe Double Room,4 nights ·,Couple,December 2021,13 January 2022,,
10,awesome and more centralised spot,comfortable and clean,none,United Kingdom,Superior Double Room,1 night ·,Solo traveller,January 2022,11 January 2022,,
